Frequent Pairs
"frozenset({'company', 'business'})"
"frozenset({'business', 'market'})"
"frozenset({'energy', 'california'})"
"frozenset({'california', 'market'})"
"frozenset({'california', 'power'})"
"frozenset({'company', 'market'})"
"frozenset({'cost', 'market'})"
"frozenset({'customer', 'market'})"
"frozenset({'energy', 'market'})"
"frozenset({'energy', 'power'})"
"frozenset({'energy', 'price'})"
"frozenset({'think', 'going'})"
"frozenset({'group', 'market'})"
"frozenset({'meeting', 'group'})"
"frozenset({'month', 'market'})"
"frozenset({'power', 'market'})"
"frozenset({'price', 'market'})"
"frozenset({'market', 'prices'})"
